a,biomasa
3.000000000000000000e+00,5.705148994297063680e+00
2.842105263157894690e+00,5.389617030373220707e+00
2.684210526315789380e+00,5.073053876284064678e+00
2.526315789473684070e+00,4.755240002563558832e+00
2.368421052631578760e+00,4.435886215626192453e+00
2.210526315789473450e+00,4.114602391822867133e+00
2.052631578947368585e+00,3.790846890547847181e+00
1.894736842105263275e+00,3.463840387843842628e+00
1.736842105263157965e+00,3.132409209996235955e+00
1.578947368421052655e+00,2.794674911410667484e+00
1.421052631578947345e+00,2.447361126400340314e+00
1.263157894736842257e+00,2.083939459436250807e+00
1.105263157894736947e+00,1.687788061399379647e+00
9.473684210526318594e-01,1.075223018512413198e+00
7.894736842105265495e-01,1.095967435080643445e-17
6.315789473684212396e-01,2.654956572216515269e-37
4.736842105263159297e-01,6.493033225187402347e-57
3.157894736842106198e-01,1.599866771850926407e-76
1.578947368421053099e-01,3.962326030722497804e-96
0.000000000000000000e+00,9.849501571891406514e-116
